
SERVER_NAME   ,OWNER               ,OBJECT_NAME                                       ,LAST_DDL_TIME                           ,STATUS    ,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AMIDALA.MQUBE.,NMGMT               ,PRODUCTCODERESSEQ                                 ,20/06/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,NMGMT               ,PRODUCTCODEUSAGESEQ                               ,20/06/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,NMGMT               ,CARRIERPCSEQ                                      ,20/06/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,DIALOGSERVER        ,PREMIUMBATCHSEQ                                   ,20/06/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,SUBSCRIPTIONACCOUNT_SEQ                           ,21/09/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,SUBSCRIPTIONCONTENT_SEQ                           ,21/09/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,MLBENTRYIDSEQ                                     ,16/04/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,BELLMOSUBS_EID_SEQ                                ,07/10/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,MMSGW               ,MMSLOGSEQ                                         ,13/10/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CMPADMIN            ,TASKIDSEQ                                         ,22/11/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
