SERVER_NA,OWNER                         ,TABLE_NAME                    ,LAST_ANA,   SIZE_MB,  NUM_ROWS,OBJECT_TYPE
AMIDALA  ,CAMPAIGNAPP                   ,VMCDATEGENERATOR              ,12/09/17,        ,1,        35,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCGIGGLESCOPE                ,12/09/17,        ,1,       372,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCHELLOTAROT                 ,12/09/17,        ,1,        62,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCPICKUPLINES                ,12/09/17,        ,1,       227,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MLBPROMOTION                  ,12/09/17,        ,1,       467,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,FLASHCONCERTPLAYER            ,12/09/17,         3,     23701,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,KEYWORD                       ,12/09/17,        ,1,        15,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MMSACLCONFIG                  ,12/09/17,        ,1,        10,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,ANSWERPOLL                    ,12/09/17,        ,1,        32,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,POLLCAMPAIGN                  ,12/09/17,        ,1,         3,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MESSAGESTATUSDATA             ,12/09/17,       1,4,         0,TABLE PARTITION
AMIDALA  ,CAMPAIGNAPP                   ,PROMOINABOXDISTRIBUTOR        ,12/09/17,        ,1,         6,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMTABLETLOG                   ,12/09/17,         6,     37860,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BCQRTZ_TRIGGERS               ,12/09/17,        ,1,         2,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CAMPAIGN                      ,12/09/17,         4,      9267,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CTIAREGISTRATION              ,12/09/17,         3,       482,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CTIASESSION                   ,12/09/17,        ,3,        53,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CTIASHOWALERT                 ,12/09/17,        ,3,       591,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CUMULATIVESTATEREPORT         ,12/09/17,        10,         5,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,JAMNREGISTRATION              ,12/09/17,         3,      2525,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,OFFERGENERATION               ,12/09/17,        ,3,       979,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIBER_POINTS             ,12/09/17,         3,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CF2                           ,12/09/17,         3,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SEGMENTSESSIONDATA            ,12/09/17,        40,        12,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIBERLISTDATA            ,12/09/17,     37952, 313825680,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,POPTARTSALERT                 ,12/09/17,        ,1,        12,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,WAPCONTENT                    ,12/09/17,        ,1,        13,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,WAPCONTENTITEM                ,12/09/17,        ,5,       383,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,WAPSITE                       ,12/09/17,        ,1,         1,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MLOG$_SPONSORS                ,11/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CHRISTDAILYMESSAGE            ,12/09/17,        ,1,       377,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOBULKSEND                ,12/09/17,        ,1,        32,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONSACCOUNTLOG       ,12/09/17,      2320,  11148720,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NEXTELMMS                     ,12/09/17,        ,1,        57,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,IQREPORT                      ,12/09/17,        ,1,        58,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCLUVSCOPE                   ,12/09/17,        ,1,       372,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCRESCUERINGREMINDER         ,12/09/17,        ,1,        69,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCRRINGRREMINDTASK           ,12/09/17,         2,     13233,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BOOSTSUBSCRIBERPOINTS         ,12/09/17,        ,2,      5547,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BOOSTINSTANTPRIZE             ,12/09/17,        ,1,        26,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NASCARPROMO                   ,12/09/17,        ,1,        37,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCFRENCHPICKUPLINE           ,12/09/17,        ,1,        99,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SBSUBSCRIBERPLAY              ,12/09/17,         2,     34860,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,ONPACKKEYS                    ,12/09/17,         8,     58460,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CHRISTDAILYGIFTS              ,12/09/17,        ,1,        16,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MLBTEAMLOOKUP                 ,12/09/17,        ,1,        48,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,PROMOINABOXDATING             ,12/09/17,        ,1,        11,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TXT2SCREENMSGLOG              ,12/09/17,        14,     84320,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TXT2SCREENCONFIG              ,12/09/17,        ,1,         6,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,IQPROGRAM                     ,12/09/17,        ,1,        20,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NOKIARR                       ,12/09/17,        ,1,       569,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,GETITTOGO                     ,12/09/17,         3,    154750,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOWHATSNEWREGIONSELECTED  ,12/09/17,        ,1,        63,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOASSIGNMENT              ,12/09/17,        ,1,        56,TABLE
