server_name,owner,object_name,last_ddl_time,status,object_type
TCHQTSDW,MMBU_EU_CAMPAIGN_MANAGER,SP_UPDATE_CM_MO_SUMMARY,2015/06/26,VALID,PROCEDURE
TCHQTSDW,MMBU_EU_CAMPAIGN_MANAGER,SP_UPDATE_USERS,2015/06/26,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_EVERB_COUNTRY_MONTH,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_EU_CAMPAIGN_MANAGER,SP_UPDATE_TW,2015/06/26,VALID,PROCEDURE
TCHQTSDW,MMBU_ATL_QRRPT_ATT,LOG_THIS,2012/11/06,VALID,PROCEDURE
TCHQTSDW,MMBU_ATL_QRRPT_ATT,SP_EXECUTE_BATCH_SQL,2013/10/29,VALID,PROCEDURE
TCHQTSDW,MMBU_ATL_QRRPT_ATT,SP_GENERATE_MU_QR_FILES,2012/11/08,VALID,PROCEDURE
TCHQTSDW,MMBU_ATL_QRRPT_ATT,SP_GENERATE_QR_FILES,2013/08/26,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,CREATE_PREMIUM_SUCCESS_RATE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,DBM_DAILY_DW_STATUS,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,INSERT_REAL_CARRIER_DATA,2017/03/09,INVALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,LOB_REPLACE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,LOG_THIS,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,PRINT_WEB_SITE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_ACXIOMC_DMC_RPT_FIX,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_EXECUTE_BATCH_SQL,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_FILE_FEED_LIST_STATUS,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_FILE_FEED_MONITOR_2,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_FIZZBACK_BILLING_MONTHLY,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_GEN_MESSAGE_LATENCY_DATA,2017/03/09,INVALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_IMP_RTD_STATUS_UPDATE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_LAST_MONTH_MESSAGE_COUNTS,2017/09/01,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_LAST_MONTH_MSG_COUNTS_TEST,2017/03/09,INVALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_LATENCY_REPORT_REFRESH,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_LM_HILL_HOLIDAY,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_LOAD_JCP_WKLY_PII_TEST,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RCM_WEEKLY_REPORT,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RELAY_DFF,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RESPONSYS_DFF,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RESPONSYS_DFF_FIX,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RTD_110_BILLABLE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RTD_DROPPED,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RTD_SUB_ZERO_FIX,2017/09/13,INVALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RTD_UPDATE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_STD_BILLING_MONTHLY,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_SUBSCRIPTION_AGING,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_TF_PERF_SHORTCODE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_UPDATE_RCS,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_UPDATE_REPORT_DATES,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,TEST_DUMP_CSV,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,TEST_DUMP_CSV_2,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,TEST_DUMP_CSV_3,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,TEST_DUMP_CSV_4,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,TEST_PII_WKLY_SAMPLE,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,TF_1DAY_REPORT,2017/03/09,VALID,PROCEDURE
TCHQTSDW,MMBU_ATL_QRRPT_ATT,SP_PRA_TEST,2012/11/06,VALID,PROCEDURE
TCHQTSDW,MMBU_ATL_CAMPAIGN_MANAGER,SP_UPDATE_USR_CAMP_PERMISSIONS,2014/05/29,VALID,PROCEDURE
TCHQTSDW,MMBU_ATL_CAMPAIGN_MANAGER,SP_UPDATE_MERCHANTS,2016/04/08,VALID,PROCEDURE
TCHQTSDW,MMBU_USA_A2W_REPORTING,SP_RTD_UPDATE_FIX2,2017/03/09,INVALID,PROCEDURE
