server_name,owner,synonym_name,table_owner,table_name,db_link,object_type
MSGDB6,PUBLIC,WM$MW_VERSIONS_VIEW_9I,WMSYS,WM$MW_VERSIONS_VIEW_9I,,SYNONYM
MSGDB6,PUBLIC,WM$ALL_VERSION_HVIEW_WDEPTH,WMSYS,ALL_VERSION_HVIEW_WDEPTH,,SYNONYM
MSGDB6,PUBLIC,WM_COMPRESS_BATCH_SIZES,WMSYS,WM_COMPRESS_BATCH_SIZES,,SYNONYM
MSGDB6,PUBLIC,WM_COMPRESSIBLE_TABLES,WMSYS,WM_COMPRESSIBLE_TABLES,,SYNONYM
MSGDB6,PUBLIC,DBA_WM_VT_ERRORS,WMSYS,DBA_WM_VT_ERRORS,,SYNONYM
MSGDB6,PUBLIC,STATS$ENQUEUE_STATISTICS,PERFSTAT,STATS$ENQUEUE_STATISTICS,,SYNONYM
MSGDB6,PUBLIC,STATS$CR_BLOCK_SERVER,PERFSTAT,STATS$CR_BLOCK_SERVER,,SYNONYM
MSGDB6,PUBLIC,STATS$CURRENT_BLOCK_SERVER,PERFSTAT,STATS$CURRENT_BLOCK_SERVER,,SYNONYM
MSGDB6,PUBLIC,STATS$INSTANCE_CACHE_TRANSFER,PERFSTAT,STATS$INSTANCE_CACHE_TRANSFER,,SYNONYM
MSGDB6,PUBLIC,STATS$JAVA_POOL_ADVICE,PERFSTAT,STATS$JAVA_POOL_ADVICE,,SYNONYM
MSGDB6,PUBLIC,STATS$THREAD,PERFSTAT,STATS$THREAD,,SYNONYM
MSGDB6,PUBLIC,STATS$FILE_HISTOGRAM,PERFSTAT,STATS$FILE_HISTOGRAM,,SYNONYM
MSGDB6,PUBLIC,STATS$TEMP_HISTOGRAM,PERFSTAT,STATS$TEMP_HISTOGRAM,,SYNONYM
MSGDB6,PUBLIC,STATS$EVENT_HISTOGRAM,PERFSTAT,STATS$EVENT_HISTOGRAM,,SYNONYM
MSGDB6,PUBLIC,STATS$TIME_MODEL_STATNAME,PERFSTAT,STATS$TIME_MODEL_STATNAME,,SYNONYM
MSGDB6,PUBLIC,STATS$SYS_TIME_MODEL,PERFSTAT,STATS$SYS_TIME_MODEL,,SYNONYM
MSGDB6,PUBLIC,STATS$SESS_TIME_MODEL,PERFSTAT,STATS$SESS_TIME_MODEL,,SYNONYM
MSGDB6,PUBLIC,STATS$STREAMS_CAPTURE,PERFSTAT,STATS$STREAMS_CAPTURE,,SYNONYM
MSGDB6,PUBLIC,STATS$STREAMS_APPLY_SUM,PERFSTAT,STATS$STREAMS_APPLY_SUM,,SYNONYM
MSGDB6,PUBLIC,STATS$PROPAGATION_SENDER,PERFSTAT,STATS$PROPAGATION_SENDER,,SYNONYM
MSGDB6,PUBLIC,STATS$PROPAGATION_RECEIVER,PERFSTAT,STATS$PROPAGATION_RECEIVER,,SYNONYM
MSGDB6,PUBLIC,STATS$BUFFERED_QUEUES,PERFSTAT,STATS$BUFFERED_QUEUES,,SYNONYM
MSGDB6,PUBLIC,STATS$BUFFERED_SUBSCRIBERS,PERFSTAT,STATS$BUFFERED_SUBSCRIBERS,,SYNONYM
MSGDB6,PUBLIC,STATS$RULE_SET,PERFSTAT,STATS$RULE_SET,,SYNONYM
MSGDB6,PUBLIC,STATS$OSSTATNAME,PERFSTAT,STATS$OSSTATNAME,,SYNONYM
MSGDB6,PUBLIC,STATS$OSSTAT,PERFSTAT,STATS$OSSTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$PROCESS_ROLLUP,PERFSTAT,STATS$PROCESS_ROLLUP,,SYNONYM
MSGDB6,PUBLIC,STATS$PROCESS_MEMORY_ROLLUP,PERFSTAT,STATS$PROCESS_MEMORY_ROLLUP,,SYNONYM
MSGDB6,PUBLIC,STATS$SGA_TARGET_ADVICE,PERFSTAT,STATS$SGA_TARGET_ADVICE,,SYNONYM
MSGDB6,PUBLIC,STATS$STREAMS_POOL_ADVICE,PERFSTAT,STATS$STREAMS_POOL_ADVICE,,SYNONYM
MSGDB6,PUBLIC,STATS$MUTEX_SLEEP,PERFSTAT,STATS$MUTEX_SLEEP,,SYNONYM
MSGDB6,PUBLIC,STATS$DYNAMIC_REMASTER_STATS,PERFSTAT,STATS$DYNAMIC_REMASTER_STATS,,SYNONYM
MSGDB6,PUBLIC,USER_REMOVED_WORKSPACES,WMSYS,USER_REMOVED_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,ALL_REMOVED_WORKSPACES,WMSYS,ALL_REMOVED_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,DBA_REMOVED_WORKSPACES,WMSYS,DBA_REMOVED_WORKSPACES,,SYNONYM
MSGDB6,IGNITE_M,MPROC,IGNITE_M,DUAL,,SYNONYM
MSGDB6,SMX,PKG_SCHEMA_REVISION,DBADMIN,PKG_SCHEMA_REVISION,,SYNONYM
MSGDB6,SMX,SCHEMA_REVISION,DBADMIN,SCHEMA_REVISION,,SYNONYM
