
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_COMPLEX_TYPES  ,SYS            ,DBA_XML_SCHEMA_COMPLEX_TYPES  ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_SCHEMA_SUBSTGRP_HEAD ,SYS            ,USER_XML_SCHEMA_SUBSTGRP_HEAD ,               ,SYNONYM

ORCL          ,PUBLIC         ,ALL_XML_SCHEMA_SUBSTGRP_HEAD  ,SYS            ,ALL_XML_SCHEMA_SUBSTGRP_HEAD  ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_SUBSTGRP_HEAD  ,SYS            ,CDB_XML_SCHEMA_SUBSTGRP_HEAD  ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_SUBSTGRP_HEAD  ,SYS            ,DBA_XML_SCHEMA_SUBSTGRP_HEAD  ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_SCHEMA_SUBSTGRP_MBRS ,SYS            ,USER_XML_SCHEMA_SUBSTGRP_MBRS ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMA_SUBSTGRP_MBRS  ,SYS            ,ALL_XML_SCHEMA_SUBSTGRP_MBRS  ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_SUBSTGRP_MBRS  ,SYS            ,CDB_XML_SCHEMA_SUBSTGRP_MBRS  ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_SUBSTGRP_MBRS  ,SYS            ,DBA_XML_SCHEMA_SUBSTGRP_MBRS  ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_SCHEMA_ELEMENTS      ,SYS            ,USER_XML_SCHEMA_ELEMENTS      ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMA_ELEMENTS       ,SYS            ,ALL_XML_SCHEMA_ELEMENTS       ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_ELEMENTS       ,SYS            ,CDB_XML_SCHEMA_ELEMENTS       ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_ELEMENTS       ,SYS            ,DBA_XML_SCHEMA_ELEMENTS       ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_SCHEMA_NAMESPACES    ,SYS            ,USER_XML_SCHEMA_NAMESPACES    ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMA_NAMESPACES     ,SYS            ,ALL_XML_SCHEMA_NAMESPACES     ,               ,SYNONYM

ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_NAMESPACES     ,SYS            ,CDB_XML_SCHEMA_NAMESPACES     ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_NAMESPACES     ,SYS            ,DBA_XML_SCHEMA_NAMESPACES     ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XMLSCHEMA_LEVEL_VIEW      ,SYS            ,CDB_XMLSCHEMA_LEVEL_VIEW      ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XMLSCHEMA_LEVEL_VIEW      ,SYS            ,DBA_XMLSCHEMA_LEVEL_VIEW      ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XMLSCHEMA_LEVEL_VIEW_DUP  ,SYS            ,CDB_XMLSCHEMA_LEVEL_VIEW_DUP  ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_DEPENDENCY     ,SYS            ,CDB_XML_SCHEMA_DEPENDENCY     ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_DEPENDENCY     ,SYS            ,DBA_XML_SCHEMA_DEPENDENCY     ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_INCLUDES       ,SYS            ,CDB_XML_SCHEMA_INCLUDES       ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_INCLUDES       ,SYS            ,DBA_XML_SCHEMA_INCLUDES       ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_IMPORTS        ,SYS            ,CDB_XML_SCHEMA_IMPORTS        ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_IMPORTS        ,SYS            ,DBA_XML_SCHEMA_IMPORTS        ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_COLUMN_NAMES         ,SYS            ,USER_XML_COLUMN_NAMES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_INDEXES              ,SYS            ,USER_XML_INDEXES              ,               ,SYNONYM

ORCL          ,PUBLIC         ,ALL_XML_INDEXES               ,SYS            ,ALL_XML_INDEXES               ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_INDEXES               ,SYS            ,CDB_XML_INDEXES               ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_INDEXES               ,SYS            ,DBA_XML_INDEXES               ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_SCHEMAS              ,SYS            ,USER_XML_SCHEMAS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMAS2              ,SYS            ,ALL_XML_SCHEMAS2              ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMAS               ,SYS            ,ALL_XML_SCHEMAS               ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMAS               ,SYS            ,CDB_XML_SCHEMAS               ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMAS               ,SYS            ,DBA_XML_SCHEMAS               ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_VIEW_COLS            ,SYS            ,USER_XML_VIEW_COLS            ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_VIEW_COLS             ,SYS            ,ALL_XML_VIEW_COLS             ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_VIEW_COLS             ,SYS            ,CDB_XML_VIEW_COLS             ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_VIEW_COLS             ,SYS            ,DBA_XML_VIEW_COLS             ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_VIEWS                ,SYS            ,USER_XML_VIEWS                ,               ,SYNONYM

ORCL          ,PUBLIC         ,ALL_XML_VIEWS                 ,SYS            ,ALL_XML_VIEWS                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_VIEWS                 ,SYS            ,CDB_XML_VIEWS                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_VIEWS                 ,SYS            ,DBA_XML_VIEWS                 ,               ,SYNONYM
