
AMIDALA       ,DIALOGSERVER   ,SONYALERTSSUBSCRIBER          ,CAMPAIGNAPP    ,SONYALERTSSUBSCRIBER          ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SONYALERTSSUBSLOG             ,CAMPAIGNAPP    ,SONYALERTSSUBSLOG             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SONYALERTSSUBSSEQ             ,CAMPAIGNAPP    ,SONYALERTSSUBSSEQ             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONCONTENTROUTING    ,CAMPAIGNAPP    ,SUBSCRIPTIONCONTENTROUTING    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONCONTENT           ,CAMPAIGNAPP    ,SUBSCRIPTIONCONTENT           ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONSACCOUNTLOG       ,CAMPAIGNAPP    ,SUBSCRIPTIONSACCOUNTLOG       ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONACCOUNT           ,CAMPAIGNAPP    ,SUBSCRIPTIONACCOUNT           ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONLEDGER            ,CAMPAIGNAPP    ,SUBSCRIPTIONLEDGER            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,BMNOPAYSUBS                   ,CAMPAIGNAPP    ,BMNOPAYSUBS                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,USNSUBSCRIBER                 ,CAMPAIGNAPP    ,USNSUBSCRIBER                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,IFUNTRANSACTION               ,CAMPAIGNAPP    ,IFUNTRANSACTION               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,IFUNTRANSACTIONNUMBERSEQ      ,CAMPAIGNAPP    ,IFUNTRANSACTIONNUMBERSEQ      ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,INLAPARTICIPANT               ,CAMPAIGNAPP    ,INLAPARTICIPANT               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MMSGWLOG                      ,MMSGW          ,MMSGWLOG                      ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,PROMOINABOXSUBSCRIBER         ,CAMPAIGNAPP    ,PROMOINABOXSUBSCRIBER         ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,PROMOINABOXTRIVIA             ,CAMPAIGNAPP    ,PROMOINABOXTRIVIA             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,BELLMOTCARE                   ,CAMPAIGNAPP    ,BELLMOTCARE                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,INLAFLASHREWARDENTRY          ,CAMPAIGNAPP    ,INLAFLASHREWARDENTRY          ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,INLAFLASHREWARDPIN            ,CAMPAIGNAPP    ,INLAFLASHREWARDPIN            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,INLAFLASHREWARD               ,CAMPAIGNAPP    ,INLAFLASHREWARD               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPUSERTDR                    ,CAMPAIGNAPP    ,WAPUSERTDR                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPREQUESTCTXT                ,CAMPAIGNAPP    ,WAPREQUESTCTXT                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MEDIATYPE                     ,CAMPAIGNAPP    ,MEDIATYPE                     ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPFORMAT                     ,CAMPAIGNAPP    ,WAPFORMAT                     ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPCONTENTITEM                ,CAMPAIGNAPP    ,WAPCONTENTITEM                ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,WAPCONTENT                    ,CAMPAIGNAPP    ,WAPCONTENT                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPSITE                       ,CAMPAIGNAPP    ,WAPSITE                       ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPSITECONTENT                ,CAMPAIGNAPP    ,WAPSITECONTENT                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPUSERTDR_ENTRY_SEQ          ,CAMPAIGNAPP    ,WAPUSERTDR_ENTRY_SEQ          ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPREQUEST_SEQ                ,CAMPAIGNAPP    ,WAPREQUEST_SEQ                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPREQUESTENTRY_SEQ           ,CAMPAIGNAPP    ,WAPREQUESTENTRY_SEQ           ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPSITECONTENT_SEQ            ,CAMPAIGNAPP    ,WAPSITECONTENT_SEQ            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPCONTENTITEM_SEQ            ,CAMPAIGNAPP    ,WAPCONTENTITEM_SEQ            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPFORMAT_SEQ                 ,CAMPAIGNAPP    ,WAPFORMAT_SEQ                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPCONTENT_SEQ                ,CAMPAIGNAPP    ,WAPCONTENT_SEQ                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MEDIATYPE_SEQ                 ,CAMPAIGNAPP    ,MEDIATYPE_SEQ                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,WAPSITE_SEQ                   ,CAMPAIGNAPP    ,WAPSITE_SEQ                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,KEYWORD                       ,CAMPAIGNAPP    ,KEYWORD                       ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,KEYWORD_SEQ                   ,CAMPAIGNAPP    ,KEYWORD_SEQ                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FEEDDELIVERY                  ,CAMPAIGNAPP    ,FEEDDELIVERY                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FEEDCATEGORY                  ,CAMPAIGNAPP    ,FEEDCATEGORY                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FEEDCONFIG                    ,CAMPAIGNAPP    ,FEEDCONFIG                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FEEDDISTRIBUTION              ,CAMPAIGNAPP    ,FEEDDISTRIBUTION              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FEEDDATA                      ,CAMPAIGNAPP    ,FEEDDATA                      ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CARRIEROCN_MARCH              ,SMX            ,CARRIEROCN_MARCH              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CARRIEROCN_OLD                ,SMX            ,CARRIEROCN_OLD                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SMSROUTINGPREFIX              ,SMX            ,SMSROUTINGPREFIX              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,OCN_OLD                       ,SMX            ,OCN_OLD                       ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,OCN_MARCH                     ,SMX            ,OCN_MARCH                     ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,OCN_BACKUP                    ,SMX            ,OCN_BACKUP                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,OCN                           ,SMX            ,OCN                           ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,LERG_ROUTING_OLD              ,SMX            ,LERG_ROUTING_OLD              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CARRIER_BACKUP                ,SMX            ,CARRIER_BACKUP                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CARRIER_OLD                   ,SMX            ,CARRIER_OLD                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,ENTRYIDSEQ                    ,CAMPAIGNAPP    ,ENTRYIDSEQ                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIBERRESPDATA            ,CAMPAIGNAPP    ,SUBSCRIBERRESPDATA            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIBERLISTDATA            ,CAMPAIGNAPP    ,SUBSCRIBERLISTDATA            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SESSIONDATA                   ,CAMPAIGNAPP    ,SESSIONDATA                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SEGMENT_TEST                  ,CAMPAIGNAPP    ,SEGMENT_TEST                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SEGMENTSUBSCRIBERRESP         ,CAMPAIGNAPP    ,SEGMENTSUBSCRIBERRESP         ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SEGMENTSESSIONDATA            ,CAMPAIGNAPP    ,SEGMENTSESSIONDATA            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SEGMENTLIST                   ,CAMPAIGNAPP    ,SEGMENTLIST                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,INODE                         ,CAMPAIGNAPP    ,INODE                         ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SEGMENT                       ,CAMPAIGNAPP    ,SEGMENT                       ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,LERGROUTINGRANGE              ,SMX            ,LERGROUTINGRANGE              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CHECKLNPCACHE                 ,SMX            ,CHECKLNPCACHE                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CHECKLNPROUTING               ,SMX            ,CHECKLNPROUTING               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,DEFER_SEND_MAIL               ,REPADMIN       ,DEFER_SEND_MAIL               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CARRIERPRODUCTCODE            ,NMGMT          ,CARRIERPRODUCTCODE            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,USWEEKLYSUBSCRIBER            ,CAMPAIGNAPP    ,USWEEKLYSUBSCRIBER            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,USWEEKLYSTORY                 ,CAMPAIGNAPP    ,USWEEKLYSTORY                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,HERBALALERT                   ,CAMPAIGNAPP    ,HERBALALERT                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,LADDER49_PRIZES               ,CAMPAIGNAPP    ,LADDER49_PRIZES               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,TEXT4TUNES_PRIZES             ,CAMPAIGNAPP    ,TEXT4TUNES_PRIZES             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MARKETWATCHSUBSCRIPTION       ,CAMPAIGNAPP    ,MARKETWATCHSUBSCRIPTION       ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MARKETWATCHALERT              ,CAMPAIGNAPP    ,MARKETWATCHALERT              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MAXIMEVENT                    ,CAMPAIGNAPP    ,MAXIMEVENT                    ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,BELLMOSUBS                    ,CAMPAIGNAPP    ,BELLMOSUBS                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,BELLMOBULKSEND                ,CAMPAIGNAPP    ,BELLMOBULKSEND                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SBSUBSCRIBER                  ,CAMPAIGNAPP    ,SBSUBSCRIBER                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SBSUBSCRIBERPLAY              ,CAMPAIGNAPP    ,SBSUBSCRIBERPLAY              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,BOOSTSUBSCRIBERPOINTS         ,CAMPAIGNAPP    ,BOOSTSUBSCRIBERPOINTS         ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,BOOSTSUBSCRIBER               ,CAMPAIGNAPP    ,BOOSTSUBSCRIBER               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CHRISTDAILYSUBSCRIBER         ,CAMPAIGNAPP    ,CHRISTDAILYSUBSCRIBER         ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CHRISTDAILYPRAYER             ,CAMPAIGNAPP    ,CHRISTDAILYPRAYER             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CHRISTDAILYMESSAGE            ,CAMPAIGNAPP    ,CHRISTDAILYMESSAGE            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,NASCARSUBSCRIBER              ,CAMPAIGNAPP    ,NASCARSUBSCRIBER              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,NASCARDRIVERSPOINTS           ,CAMPAIGNAPP    ,NASCARDRIVERSPOINTS           ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,NASCARSUBSCRIBERCHOICE        ,CAMPAIGNAPP    ,NASCARSUBSCRIBERCHOICE        ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCPICKUPLINES                ,CAMPAIGNAPP    ,VMCPICKUPLINES                ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,VMCDATEGENERATOR              ,CAMPAIGNAPP    ,VMCDATEGENERATOR              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCFASHIONFORWARD             ,CAMPAIGNAPP    ,VMCFASHIONFORWARD             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCHELLOTAROT                 ,CAMPAIGNAPP    ,VMCHELLOTAROT                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCPEPTALK                    ,CAMPAIGNAPP    ,VMCPEPTALK                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCCLASSICSCOPE               ,CAMPAIGNAPP    ,VMCCLASSICSCOPE               ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCGIGGLESCOPE                ,CAMPAIGNAPP    ,VMCGIGGLESCOPE                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCLUVSCOPE                   ,CAMPAIGNAPP    ,VMCLUVSCOPE                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCRRINGRREMINDTASK           ,CAMPAIGNAPP    ,VMCRRINGRREMINDTASK           ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBPLAYERS                    ,CAMPAIGNAPP    ,MLBPLAYERS                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBSUBSCRIBERS                ,CAMPAIGNAPP    ,MLBSUBSCRIBERS                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBMESSAGES                   ,CAMPAIGNAPP    ,MLBMESSAGES                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBTEAMLOOKUP                 ,CAMPAIGNAPP    ,MLBTEAMLOOKUP                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBTEAMNAME                   ,CAMPAIGNAPP    ,MLBTEAMNAME                   ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,ONPACKKEYS                    ,CAMPAIGNAPP    ,ONPACKKEYS                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBENTRYIDSEQ                 ,CAMPAIGNAPP    ,MLBENTRYIDSEQ                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBGAMEUPDATE                 ,CAMPAIGNAPP    ,MLBGAMEUPDATE                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,ROUTINGRANGE                  ,SMX            ,ROUTINGRANGE                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,PROMOINABOXDISTRIBUTOR        ,CAMPAIGNAPP    ,PROMOINABOXDISTRIBUTOR        ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,NOKIARR                       ,CAMPAIGNAPP    ,NOKIARR                       ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,LNPOCNCACHE                   ,SMX            ,LNPOCNCACHE                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUNKISTPLAYER                 ,CAMPAIGNAPP    ,SUNKISTPLAYER                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,INSTANTPRIZE                  ,CAMPAIGNAPP    ,INSTANTPRIZE                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FEEDDISTRIBUTIONUSERLIST      ,CAMPAIGNAPP    ,FEEDDISTRIBUTIONUSERLIST      ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONDELIVERYPREF      ,CAMPAIGNAPP    ,SUBSCRIPTIONDELIVERYPREF      ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONDELIVERYLOG       ,CAMPAIGNAPP    ,SUBSCRIPTIONDELIVERYLOG       ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,JEEPZIPCODE                   ,CAMPAIGNAPP    ,JEEPZIPCODE                   ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,FORDREDEMPTION                ,CAMPAIGNAPP    ,FORDREDEMPTION                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FLASHCONCERTALERT             ,CAMPAIGNAPP    ,FLASHCONCERTALERT             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FLASHCONCERTWINNER            ,CAMPAIGNAPP    ,FLASHCONCERTWINNER            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FLASHCONCERTPLAYER            ,CAMPAIGNAPP    ,FLASHCONCERTPLAYER            ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SUBSCRIPTIONDELIVERYCOUNT     ,CAMPAIGNAPP    ,SUBSCRIPTIONDELIVERYCOUNT     ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,FLASHCONCERTLOSER             ,CAMPAIGNAPP    ,FLASHCONCERTLOSER             ,               ,SYNONYM
